	-	A	AB	ABG	B	BG	G	GM	M
-	-	0.00172971827956989	X	X	0.000478575483870968	X	0.00269221720430108	X	0.00106296688172043
A	0.00593668989247312	-	0.00380294494623656	X	X	X	X	X	X
AB	X	0.00255031612903226	-	0.00402177032258065	0.0229881767741935	X	X	X	X
ABG	X	X	0.0443766116129032	-	X	0.0177643776344086	X	X	X
B	0.000730130322580645	X	0.00786149161290323	X	-	0.00233826021505376	X	X	X
BG	X	X	X	0.0443971496774193	0.0348801630107527	-	0.0390565582795699	X	X
G	0.000785440860215053	X	X	X	X	0.00186668688172043	-	4.64993548387097e-05	X
GM	X	X	X	X	X	X	0.0040559582795699	-	0.0142676012903226
M	0.0106406787096774	X	X	X	X	X	X	0.0187245049462365	-
