age	F	A	E	B	H	C	D	I	G
0	0.023246383562196	0.0914084960178728	0.00921853467556748	0.0768463641067954	0.0105704343114974	0.0284619435157952	0.129039147551507	0.00195511611534536	0.00744597715996914
1	0.0651688332946726	0.0766674500599242	0.0373153929047785	0.0841751314273564	0.0878157653724967	0.102486230012371	0.498660024670417	0.0176587931116137	0.0300378286795407
2	0.0828845879297651	0.0394548094460077	0.0413062763204341	0.0479493957116779	0.0482195721561627	0.162526664115055	0.528175928080845	0.0105594878319365	0.0389232545560901
3	0.0456381185419816	0.0295375324310705	0.0891382690231085	0.0335162818131644	0.0577876433902047	0.121216361289084	0.539284381901951	0.0273533488109807	0.0565280355146018
4	0.0508923526327998	0.0466635414520993	0.141211151983299	0.0422190495012758	0.0721086754813268	0.0935598357225702	0.360854781582	0.0759328873115287	0.116418527023892
5	0.0232993251913709	0.0165582313848295	0.225496621294363	0.0135919240779401	0.12090848190675	0.0508767368128044	0.254443974599861	0.0849159340292276	0.20970000487126
6	0.0425659797320808	0.0466318419450243	0.180224491997217	0.042907900487126	0.138794389004871	0.0631286001217816	0.222349857428671	0.0891501297842728	0.17372488822199
7	0.0498223970076548	0.0216557324286708	0.160061273834377	0.0153709523312457	0.211514209116214	0.0993655574112736	0.146600947112039	0.0865525842032011	0.208305349686847
8	0.0230520010438413	0.016800608907446	0.173072219206681	0.0110877011134307	0.251948708072373	0.0457909262352122	0.208070449547669	0.0573175800278358	0.211815965901183
9	0.0103301577360241	0.00177370795639063	0.311259263048017	0.00130539665970772	0.103937981210856	0.0461567135235444	0.227877309209	0.00989690489445605	0.286766684991881
10	0.00204100858269543	0.00135603688239388	0.432442485270239	0.00092888424959406	0.0851334054743679	0.00528764370215727	0.0143996933426119	0.0115737821851079	0.444749349570865
